collection_date,track_position,track_name,track_id,artist_name,artist_id,artist_followers,label_name,label_type,track_date,track_genres,track_features,artist_video,artist_video_date
2024-09-01T00:00:00+02:00,421,Cari Pacar Lagi,e13947e7-8765-4c8b-9d75-c1656bc3c3b5,['Delisa Herlina'],['37c31f2e-ae17-4ed0-bf12-f7ae7f7d53f4'],[None],['FFWD Record'],['unknown'],2021-12-22T00:00:00+00:00,[],"{'acousticness': 0.57, 'danceability': 0.69, 'energy': 0.51, 'instrumentalness': 0, 'key': 0, 'liveness': 0.1, 'loudness': -7.36, 'mode': 1, 'speechiness': 0.07, 'tempo': 122.58, 'timeSignature': 4, 'valence': 0.88}",False,
2024-09-01T00:00:00+02:00,425,Shaaman Paiyaan,f2072f49-2b36-4056-b046-3708e0015cd8,['Sonu Kakkar'],['11e81bcd-1473-9056-b457-a0369fe50396'],[None],['Times Music India Publishers'],['unknown'],2014-08-08T00:00:00+00:00,['middle eastern'],"{'acousticness': 0.78, 'danceability': 0.65, 'energy': 0.55, 'instrumentalness': 0, 'key': 7, 'liveness': 0.1, 'loudness': -7, 'mode': 0, 'speechiness': 0.05, 'tempo': 90, 'timeSignature': 4, 'valence': 0.45}",False,
2024-09-01T00:00:00+02:00,427,Mi Niña,0a4f080d-9e52-47f9-a71b-8e8fc768d72a,['Ozuna'],['11e81bc0-4610-ebca-86d4-a0369fe50396'],[12500000],['Aura Music'],['Self released'],2020-06-18T00:00:00+00:00,['latin'],"{'acousticness': 0.18, 'danceability': 0.68, 'energy': 0.71, 'instrumentalness': 0, 'key': 10, 'liveness': 0.08, 'loudness': -4.85, 'mode': 1, 'speechiness': 0.08, 'tempo': 170.05, 'timeSignature': 4, 'valence': 0.54}",False,
2024-09-01T00:00:00+02:00,429,CRAZY,4ae1f9f9-1356-42e4-9327-02be9edc81b4,[],[],[],[],[],,[],,True,2024-09-12
2024-09-01T00:00:00+02:00,430,22 (Taylor's Version),c974c309-c659-448b-92d7-1d8d09daba99,['Taylor Swift'],['11e81bc1-deb4-6ac2-8633-a0369fe50396'],[32800000],['Taylor Swift'],['Self released'],2021-11-12T00:00:00+00:00,['pop'],"{'acousticness': 0, 'danceability': 0.64, 'energy': 0.7, 'instrumentalness': 0, 'key': 7, 'liveness': 0.08, 'loudness': -5.62, 'mode': 1, 'speechiness': 0.03, 'tempo': 103.98, 'timeSignature': 4, 'valence': 0.64}",True,2021-12-27
2024-09-01T00:00:00+02:00,431,Coastline,11e840c7-ba17-30e8-9266-aa1c026db3d8,['Hollow Coves'],['11e81bbc-0cf4-e908-ad9f-a0369fe50396'],[60300],['Hollow Coves Music'],['unknown'],2016-11-18T00:00:00+00:00,"['alternative', 'pop', 'rock', 'folk & traditional']","{'acousticness': 0.61, 'danceability': 0.67, 'energy': 0.49, 'instrumentalness': 0, 'key': 2, 'liveness': 0.06, 'loudness': -11.29, 'mode': 1, 'speechiness': 0.03, 'tempo': 100.11, 'timeSignature': 4, 'valence': 0.41}",True,2023-06-09
2024-09-01T00:00:00+02:00,432,Mi eterno amor secreto,11e82623-0599-36fc-aae1-a0369fe50396,['Marco Antonio Solís'],['11e81bd2-78a3-ad36-a9a3-a0369fe50396'],[506400],[],[],2003-01-01T00:00:00+00:00,['latin'],,False,
2024-09-01T00:00:00+02:00,435,Friendships,11e84117-83b7-ca1c-981c-aa1c026db3d8,['Pascal Letoublon'],['11e83fec-dd5e-c614-846d-aa1c026db3d8'],[18800],['Suprafive'],['Self released'],2017-09-05T00:00:00+00:00,"['electronic', 'pop']","{'acousticness': 0.14, 'danceability': 0.73, 'energy': 0.78, 'instrumentalness': 0.91, 'key': 11, 'liveness': 0.1, 'loudness': -6.31, 'mode': 0, 'speechiness': 0.04, 'tempo': 119.98, 'timeSignature': 4, 'valence': 0.07}",False,
2024-09-01T00:00:00+02:00,436,Vabini Kokhono Ebhabe,326d3094-c381-4919-acf4-491b0158b68e,['Imran Mahmudul'],['c7b75d2e-316a-11e9-be15-00163ec5a2fb'],[2400000],[],[],2021-06-14T00:00:00+00:00,[],,False,
2024-09-01T00:00:00+02:00,437,Quer Engravidar de Artista,4adcee14-6ef3-411d-81e4-5bc2d91aad1d,"['DJ Kley', 'DJ Patrick R', 'MC Pê Original']","['fe5168f4-4798-11e9-a99d-549f35161576', 'c3179492-f1a4-48bd-8759-2498db4d1315', '1fcbefc1-7462-458b-95dd-473a076712ae']","[7379, None, 8716]",['Ritmo dos Fluxos'],['unknown'],2024-04-14T00:00:00+00:00,"['latin', 'r&b, funk & soul']","{'acousticness': 0.49, 'danceability': 0.97, 'energy': 0.91, 'instrumentalness': 0, 'key': 2, 'liveness': 0.11, 'loudness': -1.5, 'mode': 1, 'speechiness': 0.14, 'tempo': 129.98, 'timeSignature': 4, 'valence': 0.79}",False,
2024-09-01T00:00:00+02:00,439,LEYENDAS,cd9f9b13-40c8-4007-82a3-520e86acdc8e,"['Zion', 'Wisin & Yandel', 'Ivy Queen', 'Alberto Stylee', 'Nicky Jam', 'Karol G']","['11e81bba-ad23-6cf8-8e4c-a0369fe50396', '11e81bc2-bc7f-4cf0-9293-a0369fe50396', '11e81bc6-e37e-5d6a-b0c9-a0369fe50396', '11e81bc7-298c-5a64-8e54-a0369fe50396', '11e81bc7-b8eb-c74e-b743-a0369fe50396', '11e81bce-c4cb-1af4-b863-a0369fe50396']","[None, 1100000, 2600000, 17100, 7700000, 54400000]",['Universal'],['Universal'],2021-03-25T00:00:00+00:00,"['hip-hop & rap', 'latin']","{'acousticness': 0.06, 'danceability': 0.55, 'energy': 0.78, 'instrumentalness': 0, 'key': 10, 'liveness': 0.26, 'loudness': -5.45, 'mode': 0, 'speechiness': 0.13, 'tempo': 95.59, 'timeSignature': 4, 'valence': 0.65}",False,
